Id,SalePrice,LotArea,TotalSF,TotalBath,BedroomAbvGr,GarageCars,WoodDeckSF,YearBuilt,YearRemodAdd
1,208500,8450,2566,2.5,3,2,0,2003,2003
2,181500,9600,2524,2,3,2,298,1976,1976
3,223500,11250,2706,2.5,3,2,0,2001,2002
4,140000,9550,2473,1,3,3,0,1915,1970
5,250000,14260,3343,2.5,4,3,192,2000,2000
6,143000,14115,2158,1.5,1,2,40,1993,1995
7,307000,10084,3380,2,3,2,255,2004,2005
8,200000,10382,3197,2.5,3,2,235,1973,1973
9,129900,6120,2726,2,2,2,90,1931,1950
10,118000,7420,2068,1,2,1,0,1939,1950
11,129500,11200,2080,1,3,1,0,1965,1965
12,345000,11924,3499,3,4,3,147,2005,2006
13,144000,12968,1824,1,2,1,140,1962,1962
14,279500,10652,2988,2,3,3,160,2006,2007
15,157000,10920,2506,1.5,2,1,0,1960,1960
16,132000,6120,1686,1,2,2,48,1929,2001
17,149000,11241,2008,1,2,2,0,1970,1970
18,90000,10791,1296,2,2,2,0,1967,1967
19,159000,13695,2228,1.5,3,2,0,2004,2004
20,139000,7560,2368,1,3,1,0,1958,1965
21,325300,14215,3534,3.5,4,3,240,2005,2006
22,139400,7449,1745,1,3,1,0,1930,1950
23,230000,9742,3572,2,3,2,171,2002,2002
24,129900,4224,2100,1,3,2,100,1976,1976
25,154000,8246,2120,1,3,1,406,1968,2001
26,256300,14230,3166,2,3,3,0,2007,2007
27,134800,7200,1800,1,3,2,222,1951,2000
28,306000,11478,3408,2,3,3,0,2007,2008
29,207500,16321,3084,1,2,1,288,1957,1997
30,68500,6324,1040,1,1,1,49,1927,1950
31,40000,8500,1966,1,3,1,0,1920,1950
32,149350,8544,2456,1.5,3,1,0,1966,2006
33,179900,11049,2468,2,3,2,0,2007,2007
34,165500,10552,3098,1.5,4,2,0,1959,1959
35,277500,7313,3122,2,2,2,203,2005,2005
36,309000,13418,3569,3.5,4,3,113,2004,2005
37,145000,10859,2194,1.5,3,2,392,1994,1995
38,153000,8532,2594,1,3,2,0,1954,1990
39,109000,7922,2114,1,3,1,0,1953,2007
40,82000,6040,1152,2,2,0,0,1955,1955
41,160000,8658,2412,2,3,2,0,1965,1965
42,170000,16905,2678,1.5,2,1,0,1959,1959
43,144000,9180,1724,1,2,2,240,1983,1983
44,130250,9200,1876,1,3,1,145,1975,1980
45,141000,7945,2300,1,3,1,0,1959,1959
46,319900,7658,3504,2,2,2,196,2005,2005
47,239686,12822,3583,1.5,1,2,168,2003,2003
48,249700,11096,3312,2,3,3,0,2006,2006
49,113000,4456,2188,2,2,0,0,1920,2008
50,127000,7742,1910,1,3,1,0,1966,1966
51,177000,13869,2264,2,3,2,0,1997,1997
52,114500,6240,1632,1,3,2,112,1934,1950
53,110000,8472,1632,1,2,2,106,1963,1963
54,385000,50271,3684,0.5,0,3,857,1981,1987
55,130000,7134,1744,1,3,2,0,1955,1955
56,180500,10175,2850,2,3,2,0,1964,1964
57,172500,2645,2709,2.5,3,2,115,1999,2000
58,196500,11645,2580,2.5,3,2,0,2004,2004
59,438780,13682,4355,3.5,3,3,192,2006,2006
60,124900,7200,1560,1,2,1,196,1972,1972
61,158000,13072,2316,1.5,3,2,0,2004,2004
62,101000,7200,1641,1,3,1,0,1920,1996
63,202500,6442,2740,2,2,2,120,2006,2006
64,140000,10300,2286,2,3,2,12,1921,1950
65,219500,9375,3091,2.5,3,2,576,1997,1998
66,317000,9591,3616,2.5,4,3,192,2004,2005
67,180000,19900,4154,2,3,2,301,1970,1989
68,226000,10665,2932,2,3,2,144,2003,2003
69,80000,4608,1494,1,2,1,0,1945,1950
70,225000,15593,3591,2,3,2,0,1953,1953
71,244000,13651,4446,2,3,2,300,1973,1973
72,129500,7599,1690,1,2,2,0,1982,2006
73,185000,10141,2550,2.5,3,2,0,1998,1998
74,144900,10200,2172,1,3,2,0,1954,2003
